Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,Log_Total_Income,Log_LoanAmount
LP_R00650,Female,No,3+,Not Graduate,Yes,3995,501,268,300,0.0,Semiurban,N,4496,8.411165786770708,5.594711379601839
LP_A02041,Male,Yes,0,Graduate,No,5435,339,141,360,1.0,Semiurban,Y,5774,8.661293535389994,4.955827057601261
LP_A08668,Male,No,0,Graduate,No,11139,1185,90,240,1.0,Rural,Y,12324,9.41938499891089,4.51085950651685
LP_A01114,Male,Yes,2,Graduate,Yes,8719,2557,123,360,1.0,Rural,Y,11276,9.330520532232288,4.820281565605037
LP_R03902,Female,No,2,Not Graduate,Yes,4561,0,211,300,1.0,Urban,N,4561,8.425516402844334,5.356586274672012
LP_R01963,Male,No,1,Not Graduate,No,4247,359,102,240,0.0,Semiurban,N,4606,8.435332164935916,4.634728988229636
LP_R01072,Male,No,0,Graduate,Yes,4295,1765,240,240,0.0,Rural,N,6060,8.709630081951286,5.484796933490655
LP_A03002,Female,Yes,0,Graduate,No,3219,2041,112,360,1.0,Urban,Y,5260,8.568076401730806,4.727387818712341
LP_R09771,Male,No,3+,Not Graduate,Yes,5988,2445,144,120,0.0,Semiurban,N,8433,9.040026434306505,4.976733742420574
LP_A08115,Male,Yes,0,Graduate,Yes,10244,2914,146,360,1.0,Semiurban,Y,13158,9.48486121415014,4.990432586778736
LP_A03525,Male,Yes,3+,Graduate,No,11360,2147,137,360,1.0,Semiurban,Y,13507,9.511037381505458,4.927253685157205
LP_A07879,Male,Yes,3+,Graduate,Yes,6871,1531,125,240,1.0,Semiurban,Y,8402,9.036344063928219,4.836281906951478
LP_R06441,Male,Yes,0,Not Graduate,No,3440,1487,141,180,1.0,Rural,N,4927,8.502688505213357,4.955827057601261
LP_R06296,Female,No,0,Not Graduate,No,1088,1076,187,240,0.0,Urban,N,2164,7.68017564043659,5.236441962829949
LP_R02566,Female,Yes,0,Graduate,No,2243,935,187,240,1.0,Rural,N,3178,8.064321960910803,5.236441962829949
LP_A05252,Male,Yes,2,Graduate,No,7487,1079,120,360,1.0,Urban,Y,8566,9.055672891964043,4.795790545596741
LP_R09393,Male,No,2,Graduate,Yes,2503,1157,212,120,1.0,Urban,N,3660,8.205491613120236,5.3612921657094255
LP_R06796,Female,No,1,Graduate,No,3840,0,140,240,0.0,Urban,N,3840,8.253488028345904,4.948759890378168
LP_A08094,Male,No,0,Graduate,No,10613,1162,174,300,1.0,Rural,Y,11775,9.373818840968658,5.1647859739235145
LP_A00322,Female,Yes,0,Graduate,No,4761,1454,128,360,1.0,Rural,Y,6215,8.734881892047483,4.859812404361672
LP_A09923,Female,Yes,3+,Graduate,No,5977,475,158,360,1.0,Urban,Y,6452,8.77230041793584,5.0689042022202315
LP_A07459,Male,Yes,3+,Graduate,No,7313,3403,124,180,1.0,Urban,Y,10716,9.279586544712997,4.8283137373023015
LP_R09024,Male,Yes,2,Not Graduate,No,2719,1292,107,180,0.0,Rural,N,4011,8.297045149081827,4.68213122712422
LP_R07553,Female,Yes,2,Graduate,No,4545,1338,125,180,0.0,Rural,N,5883,8.679992081721329,4.836281906951478
LP_A09119,Male,Yes,1,Not Graduate,No,7810,1654,160,360,1.0,Urban,Y,9464,9.155356063643422,5.081404364984463
LP_R06421,Male,No,0,Not Graduate,Yes,4887,0,334,300,0.0,Semiurban,N,4887,8.494538500851432,5.814130531825066
LP_R06060,Female,Yes,1,Graduate,No,3086,647,164,120,1.0,Semiurban,N,3733,8.225235324101668,5.10594547390058
LP_R00120,Male,Yes,0,Graduate,No,5493,2926,194,300,1.0,Urban,N,8419,9.038365107236372,5.272999558563747
LP_R09055,Female,No,0,Not Graduate,No,5668,0,226,300,0.0,Semiurban,N,5668,8.642768014324304,5.424950017481403
LP_A03649,Male,Yes,1,Graduate,No,9118,4047,168,360,1.0,Urban,Y,13165,9.485393028027822,5.1298987149230735
LP_A03941,Female,Yes,0,Graduate,No,4164,3473,160,360,1.0,Urban,Y,7637,8.940891067785461,5.081404364984463
LP_R07880,Female,Yes,1,Not Graduate,No,4935,308,166,240,1.0,Semiurban,N,5243,8.56483984488359,5.117993812416755
LP_R06675,Female,Yes,2,Not Graduate,No,2203,0,254,360,0.0,Semiurban,N,2203,7.698029170272805,5.541263545158426
LP_R02630,Female,Yes,0,Graduate,No,5735,1297,260,300,0.0,Urban,N,7032,8.858368636308018,5.564520407322694
LP_R01443,Male,No,1,Graduate,No,4723,7,161,180,0.0,Semiurban,N,4730,8.461891875631148,5.087596335232384
LP_R02157,Male,No,1,Not Graduate,Yes,1467,1179,114,180,0.0,Rural,N,2646,7.881182202227102,4.74493212836325
LP_R03835,Female,No,0,Not Graduate,No,5539,1622,86,180,0.0,Rural,N,7161,8.876544550558378,4.465908118654584
LP_A03434,Female,No,1,Graduate,No,8230,1847,150,360,1.0,Rural,Y,10077,9.218110109240543,5.017279836814924
LP_R08739,Male,Yes,3+,Graduate,Yes,3968,1801,169,240,0.0,Urban,N,5769,8.660427359502146,5.135798437050262
LP_R07407,Male,No,1,Graduate,No,4044,2491,111,360,0.0,Urban,N,6535,8.785080636539838,4.718498871295094
LP_R05440,Female,Yes,1,Graduate,No,2243,1366,81,180,0.0,Rural,N,3609,8.191463051326927,4.406719247264253
LP_R00406,Male,No,0,Not Graduate,No,3092,2928,270,300,0.0,Semiurban,N,6020,8.703008637464448,5.602118820879701
LP_A06517,Female,Yes,0,Graduate,No,4298,1918,145,360,1.0,Rural,Y,6216,8.735042754269337,4.983606621708336
LP_A00971,Male,Yes,0,Not Graduate,No,4300,1699,185,300,1.0,Urban,Y,5999,8.699514748210191,5.225746673713202
LP_R06487,Female,Yes,3+,Not Graduate,Yes,4923,649,211,180,0.0,Urban,N,5572,8.625688787569537,5.356586274672012
LP_R09730,Female,Yes,1,Not Graduate,No,1467,0,111,300,0.0,Urban,N,1467,7.291656209174461,4.718498871295094
LP_R03137,Male,Yes,1,Graduate,Yes,899,1070,141,120,0.0,Urban,N,1969,7.585788821732034,4.955827057601261
LP_A03669,Female,No,3+,Graduate,Yes,1085,3214,55,360,1.0,Urban,Y,4299,8.366370301681654,4.02535169073515
LP_R05983,Male,No,0,Graduate,Yes,6722,2104,70,300,0.0,Rural,N,8826,9.085570485020233,4.2626798770413155
LP_A04058,Male,Yes,0,Graduate,Yes,4132,2190,141,360,1.0,Rural,Y,6322,8.751949058058614,4.955827057601261
LP_R04976,Male,No,3+,Graduate,No,1536,898,218,360,0.0,Semiurban,N,2434,7.79770203551669,5.389071729816501
LP_R05698,Male,No,1,Graduate,Yes,5045,2331,196,300,0.0,Urban,N,7376,8.906122330884303,5.2832037287379885
LP_R03829,Male,Yes,1,Not Graduate,No,3633,1286,237,120,0.0,Urban,N,4919,8.501063809486354,5.472270673671475
LP_R03419,Female,No,2,Not Graduate,No,704,0,173,300,0.0,Rural,N,704,6.558197802812269,5.159055299214529
LP_A00960,Male,Yes,1,Not Graduate,No,13197,0,169,360,0.0,Urban,Y,13197,9.487820581943367,5.135798437050262
LP_R07744,Female,No,1,Not Graduate,Yes,3415,1453,380,120,1.0,Semiurban,N,4868,8.4906438561827,5.942799375126701
LP_A09864,Female,No,0,Graduate,No,7526,2830,177,240,1.0,Rural,Y,10356,9.24541789858888,5.181783550292085
LP_R01263,Female,No,1,Graduate,No,4796,1905,114,180,0.0,Urban,N,6701,8.810161268297255,4.74493212836325
LP_R05782,Female,No,3+,Graduate,No,2823,31,206,180,0.0,Semiurban,N,2854,7.956827122090111,5.332718793265369
LP_R07196,Female,No,2,Not Graduate,No,1274,0,124,360,0.0,Semiurban,N,1274,7.150701457592526,4.8283137373023015
LP_A07554,Female,Yes,2,Graduate,No,7832,378,166,240,1.0,Urban,Y,8210,9.01322999770879,5.117993812416755
LP_R00498,Male,No,3+,Not Graduate,No,1445,784,233,120,0.0,Urban,N,2229,7.709756864454165,5.455321115357702
LP_R07059,Male,No,3+,Graduate,Yes,4171,2326,303,300,0.0,Semiurban,N,6497,8.779249716229046,5.717027701406222
LP_R07928,Male,Yes,1,Graduate,No,2383,220,214,180,0.0,Semiurban,N,2603,7.86480400332846,5.3706380281276624
LP_A07085,Female,Yes,1,Graduate,No,10612,3486,179,300,1.0,Semiurban,Y,14098,9.55385915186536,5.19295685089021
LP_R04753,Male,No,3+,Graduate,No,1357,1116,180,360,0.0,Rural,N,2473,7.813591552952433,5.198497031265826
LP_A04519,Female,Yes,1,Graduate,No,8516,1785,123,360,1.0,Rural,Y,10301,9.24009333012553,4.820281565605037
LP_A03024,Male,Yes,1,Not Graduate,No,3183,1591,92,360,1.0,Semiurban,Y,4774,8.471149252914831,4.532599493153256
LP_R02121,Female,No,0,Graduate,Yes,4302,662,401,180,0.0,Rural,N,4964,8.510168576479273,5.996452088619021
LP_R08494,Male,Yes,1,Graduate,No,2286,1090,230,240,0.0,Semiurban,N,3376,8.124743020385568,5.442417710521793
LP_A05483,Female,Yes,0,Not Graduate,No,1116,2683,137,180,1.0,Urban,Y,3799,8.242756345714477,4.927253685157205
LP_A01419,Male,Yes,0,Not Graduate,No,9804,1188,135,360,1.0,Urban,Y,10992,9.305013985578864,4.912654885736052
LP_A06209,Female,Yes,0,Graduate,No,9462,3658,170,360,1.0,Urban,Y,13120,9.481969279105716,5.14166355650266
LP_R00742,Female,Yes,2,Not Graduate,No,3683,1054,284,240,0.0,Rural,N,4737,8.463370384718731,5.652489180268651
LP_R06143,Male,No,2,Not Graduate,Yes,3425,0,374,180,1.0,Rural,N,3425,8.139148678884066,5.926926025970411
LP_R07617,Female,Yes,2,Graduate,Yes,5258,467,171,180,1.0,Rural,N,5725,8.65277248565806,5.147494476813453
LP_R04568,Female,No,3+,Graduate,Yes,2718,2920,137,300,0.0,Rural,N,5638,8.637462023807181,4.927253685157205
LP_A00980,Female,Yes,1,Graduate,No,11511,1774,98,240,1.0,Rural,Y,13285,9.494466128225186,4.59511985013459
LP_A02783,Female,Yes,0,Not Graduate,Yes,6849,0,102,240,0.0,Urban,Y,6849,8.83200393125627,4.634728988229636
LP_A07713,Female,Yes,3+,Graduate,Yes,5804,819,143,240,1.0,Semiurban,Y,6623,8.798454696065095,4.969813299576001
LP_R01518,Female,No,1,Graduate,Yes,1581,242,264,300,0.0,Semiurban,N,1823,7.508787170634276,5.579729825986222
LP_A08600,Male,Yes,0,Not Graduate,No,6068,1217,93,360,1.0,Urban,Y,7285,8.89370997756851,4.543294782270004
LP_R01640,Male,No,3+,Graduate,Yes,3830,63,169,120,1.0,Urban,N,3893,8.267192185932146,5.135798437050262
LP_R08830,Female,No,2,Graduate,No,3164,0,201,120,0.0,Rural,N,3164,8.059908334578276,5.308267697401205
LP_R02562,Female,No,0,Graduate,No,4096,650,125,240,0.0,Semiurban,N,4746,8.465268118551318,4.836281906951478
LP_R02751,Female,Yes,1,Graduate,Yes,649,150,183,120,0.0,Rural,N,799,6.684611727667927,5.214935757608986
LP_A06384,Female,Yes,1,Graduate,No,5004,2451,102,180,1.0,Semiurban,Y,7455,8.916774356365426,4.634728988229636
LP_A04807,Male,Yes,0,Graduate,Yes,9549,1516,234,360,1.0,Rural,Y,11065,9.311632623458054,5.459585514144159
LP_A06195,Female,Yes,0,Not Graduate,No,6686,1649,86,360,1.0,Urban,Y,8335,9.028338763993148,4.465908118654584
LP_R00648,Male,No,1,Not Graduate,Yes,6935,1175,254,180,0.0,Rural,N,8110,9.000976444070345,5.541263545158426
LP_A07567,Male,Yes,0,Graduate,No,7448,3012,106,240,0.0,Urban,Y,10460,9.25540933534376,4.672828834461906
LP_R06397,Male,No,2,Graduate,No,2719,1782,244,240,1.0,Semiurban,N,4501,8.412277021466677,5.501258210544727
LP_R07524,Male,No,3+,Not Graduate,Yes,3485,473,214,120,0.0,Urban,N,3958,8.28374674710613,5.3706380281276624
LP_A01346,Male,Yes,0,Graduate,No,6651,1329,132,360,1.0,Urban,Y,7980,8.984818995876008,4.890349128221754
LP_R03124,Male,No,1,Not Graduate,No,3328,1051,291,180,0.0,Semiurban,N,4379,8.384804003370492,5.676753802268282
LP_R02673,Male,Yes,1,Graduate,Yes,3563,1406,209,360,0.0,Semiurban,N,4969,8.511175119090675,5.3471075307174685
LP_R05455,Female,No,1,Not Graduate,No,5680,0,210,120,0.0,Semiurban,N,5680,8.644882552557126,5.351858133476067
LP_R04001,Male,Yes,0,Graduate,Yes,4453,1209,243,180,0.0,Semiurban,N,5662,8.641709066113805,5.497168225293202
LP_R08621,Male,Yes,0,Not Graduate,No,3470,1158,207,240,1.0,Rural,N,4628,8.44009614103127,5.337538079701318
